plugin,formid,editor_id,name,archetype,actor_value,magic_skill,resist_value,cast_type,target_type,flags,modding_read,validation
Dawnguard.esm,Dawnguard.esm:00F4E2,DLC1dunHarkonSummonGargoyle,,SummonCreature,None,None,None,FireAndForget,TargetLocation,"SnapToNavmesh, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0149A9,DLC1dunRedwaterDenPowerEffect,,PeakValueModifier,Health,None,None,ConstantEffect,Self,"Recover, Detrimental, NoDuration, PowerAffectsMagnitude",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0149AA,DLC1dunRedwaterDenWithdrawalEffect,,ValueModifier,Health,None,None,ConstantEffect,Self,"Recover, NoDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:01391E,DLC1dunRedwaterSkoomaEffect,,Script,None,None,None,FireAndForget,Self,"NoDuration, NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:014046,DLC1dunRedwaterSlowEffect,,PeakValueModifier,SpeedMult,None,ResistFrost,FireAndForget,Self,"Hostile, Recover, Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:016690,DLC1EnchHealthDamageFFContact,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, NoArea, HideInUI, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:015719,DLC1EnchSunDamage,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:015711,DLC1EnchSunDamageArea,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01A187,DLC1EnchSunDamageArrow,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01571B,DLC1EnchSunDamageUndead,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:015710,DLC1EnchSunDamageUndeadArea,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01A188,DLC1EnchSunDamageUndeadArrow,,ValueModifier,Health,None,None,FireAndForget,Touch,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:007D97,DLC1FalmerHealerEffect,,Cloak,None,None,ResistMagic,ConstantEffect,Self,"NoDuration, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:007D99,DLC1FalmerHealerHealCheckEffect,,Script,None,None,ResistMagic,Concentration,Aimed,"NoHitEvent, NoDuration, NoArea, FXPersist, PowerAffectsMagnitude, Painless, NoDeathDispel",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0029AB,DLC1FireDamageFFSelfArea65,,ValueModifier,Health,None,ResistFire,FireAndForget,Self,"Hostile, Detrimental, FXPersist, NoRecast, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:014DC5,DLC1FoodSoulHuskEffect,,PeakValueModifier,Health,None,None,FireAndForget,Self,"NoArea, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0059A0,DLC1FortifyHealRate,,PeakValueModifier,HealRateMult,None,None,FireAndForget,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:0029E1,DLC1FortifyMagickaRateFFSelf,,PeakValueModifier,MagickaRateMult,Restoration,None,FireAndForget,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:011362,DLC1FortifyMarksmanFFSelf,,PeakValueModifier,MarksmanModifier,Restoration,None,FireAndForget,Self,"Recover, DispelWithKeywords, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:0029E3,DLC1FortifyStaminaRateFFSelf,,PeakValueModifier,StaminaRateMult,Restoration,None,FireAndForget,Self,"Recover, NoArea, PowerAffectsMagnitude",reward/neglect magnitude reference,extracted
Dawnguard.esm,Dawnguard.esm:014CC7,DLC1FrostSlowFFAimed,,PeakValueModifier,SpeedMult,Destruction,ResistFrost,FireAndForget,Aimed,"Hostile, Recover, Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:010E17,DLC1FXBleedVampireDeathCastEffect,,Script,None,None,None,FireAndForget,Self,"NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:010E11,DLC1FXBleedVampireDeathEffect,,Script,None,None,None,Concentration,Aimed,"NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:01A935,DLC1HarkonAbsorbHealthFFAimed,,Absorb,Health,None,ResistMagic,FireAndForget,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01A936,DLC1HarkonAbsorbMagickaFFAimed,,Absorb,Magicka,None,ResistMagic,FireAndForget,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:01A937,DLC1HarkonAbsorbStaminaFFAimed,,Absorb,Stamina,None,ResistMagic,FireAndForget,Aimed,"Hostile, Detrimental, NoArea, FXPersist, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00D652,DLC1HarkonMistformCalmEffect,,Calm,Aggression,None,None,FireAndForget,Self,"Recover, DispelWithKeywords, PowerAffectsDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D651,DLC1HarkonMistformEffect,,Etherealize,None,None,None,FireAndForget,Self,"NoMagnitude, NoArea, FXPersist, NoRecast",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00BA51,DLC1HowlWerewolfDetectLife1,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C55,DLC1HowlWerewolfDetectLife2,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C54,DLC1HowlWerewolfDetectLife3,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C53,DLC1HowlWerewolfDetectLifeCombat1,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C57,DLC1HowlWerewolfDetectLifeCombat2,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:00BA53,DLC1HowlWerewolfDetectLifeCombat3,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C56,DLC1HowlWerewolfDetectLifeSearching1,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C58,DLC1HowlWerewolfDetectLifeSearching2,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:018C52,DLC1HowlWerewolfDetectLifeSearching3,,ValueModifier,DetectLifeRange,None,None,FireAndForget,Self,"Recover, NoHitEvent, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:015FD2,DLC1HowlWerewolfFearEffect1,,Demoralize,Confidence,None,None,FireAndForget,Self,"Hostile, Recover, DispelWithKeywords, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:015FD1,DLC1HowlWerewolfFearEffect2,,Demoralize,Confidence,None,None,FireAndForget,Self,"Hostile, Recover, DispelWithKeywords, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:015FD0,DLC1HowlWerewolfFearEffect3,,Demoralize,Confidence,None,None,FireAndForget,Self,"Hostile, Recover, DispelWithKeywords, FXPersist, PowerAffectsDuration",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A66,DLC1HowlWerewolfSummonIceWolvesEffect1,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"SnapToNavmesh, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A67,DLC1HowlWerewolfSummonIceWolvesEffect2,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"Recover, SnapToNavmesh, NoDuration, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A68,DLC1HowlWerewolfSummonIceWolvesEffect3,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"Recover, SnapToNavmesh, NoDuration, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A69,DLC1HowlWerewolfSummonWerewolvesEffect1,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"SnapToNavmesh, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A6A,DLC1HowlWerewolfSummonWerewolvesEffect2,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"Recover, SnapToNavmesh, NoDuration, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:008A6B,DLC1HowlWerewolfSummonWerewolvesEffect3,,SummonCreature,None,Conjuration,None,FireAndForget,Self,"Recover, SnapToNavmesh, NoDuration, NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, NoHitEffect",curse/disease overlay,extracted
Dawnguard.esm,Dawnguard.esm:004343,DLC1IceFormWithBarrier,,Paralysis,Paralysis,Destruction,None,FireAndForget,Aimed,"Hostile, Recover, NoMagnitude, FXPersist",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00D3C2,DLC1InfluenceAggDownFFAimed,,Calm,Aggression,None,None,FireAndForget,Aimed,"Recover, DispelWithKeywords, NoArea, FXPersist, PowerAffectsMagnitude",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:006344,DLC1KeeperSoulSpellFX,,Script,None,None,None,Concentration,Aimed,"Detrimental, NoArea, FXPersist, HideInUI, PowerAffectsMagnitude, NoDeathDispel",neglect/price effect reference,extracted
Dawnguard.esm,Dawnguard.esm:0142AF,DLC1LD_AetherialShieldCalmEffect,,Calm,Aggression,None,None,FireAndForget,Touch,"Recover, DispelWithKeywords, PowerAffectsDuration",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:00CFA6,DLC1LD_AetherialShieldEtherealize,,Etherealize,None,None,None,FireAndForget,Touch,"NoMagnitude, NoArea, FXPersist, PowerAffectsDuration, Painless",magic effect palette,extracted
Dawnguard.esm,Dawnguard.esm:0041AF,DLC1LD_AetherialShieldFearEffect,,Demoralize,Confidence,None,None,FireAndForget,Touch,"Hostile, Recover, Detrimental, DispelWithKeywords, NoArea, FXPersist, NoRecast, PowerAffectsMagnitude",neglect/price effect reference,extracted
