plugin,formid,editor_id,name,spell_type,cast_type,target_type,effects,modding_use,validation
Dawnguard.esm,Dawnguard.esm:0068B6,DLC1nVampireReflexSpell,,Spell,FireAndForget,Self,DLC1nVampireReflexEffect (Dawnguard.esm:0068B7)|mag=0.2|area=0|dur=10,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010E04,DLC1nVampireRegenSpell,,Ability,ConstantEffect,Self,AbFortifyMagickaRate (Skyrim.esm:05312B)|mag=17|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A36,DLC1PlayerVampireLvl10AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=0|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=40|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=50|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=100|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A37,DLC1PlayerVampireLvl15AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=5|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=75|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=10|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=60|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=125|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A38,DLC1PlayerVampireLvl20AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=10|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=100|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=20|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=80|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=150|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A39,DLC1PlayerVampireLvl25AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=15|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=125|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=30|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=100|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=175|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A3A,DLC1PlayerVampireLvl30AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=20|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=150|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=40|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=120|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=200|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A3B,DLC1PlayerVampireLvl35AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=25|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=175|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=50|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=140|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=225|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A3C,DLC1PlayerVampireLvl40AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=30|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=200|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=60|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=160|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=250|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A3D,DLC1PlayerVampireLvl45AndBelowAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=35|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=225|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=80|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=180|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=275|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:007A3E,DLC1PlayerVampireLvl50AndOverAbility,,Ability,ConstantEffect,Self,AbFortifyUnarmedDamage (Skyrim.esm:0424E2)|mag=40|area=0|dur=0; AbFortifyHealth (Skyrim.esm:0A1A3F)|mag=250|area=0|dur=0; AbFortifyStamina (Skyrim.esm:091F77)|mag=100|area=0|dur=0; DLC1AbFortifyMagicka (Dawnguard.esm:0110D0)|mag=200|area=0|dur=0; AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; AbResistDamage (Skyrim.esm:0CAB90)|mag=300|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0038B5,DLC1StendarrsAura,,Spell,FireAndForget,Self,DLC1SunCloakFFSelf (Dawnguard.esm:008A5C)|mag=10|area=0|dur=60; DLC1SunLightFFSelf (Dawnguard.esm:00A3B9)|mag=0|area=0|dur=60,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010D8A,DLC1StendarrsAuraIsran,,Spell,FireAndForget,Self,DLC1SunCloakFFSelfIsran (Dawnguard.esm:010D8B)|mag=10|area=0|dur=60; DLC1SunLightFFSelf (Dawnguard.esm:00A3B9)|mag=0|area=0|dur=60,spell signal/effect candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0038B9,DLC1VampireBats,,LesserPower,FireAndForget,Self,DLC1BatsEffect (Dawnguard.esm:01571A)|mag=1|area=0|dur=2,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:005889,DLC1VampireCalm,,LesserPower,FireAndForget,Aimed,InfluenceAggDownFFAimed (Skyrim.esm:04DEE7)|mag=4|area=0|dur=15; PerkMasterMindAggDownFFAimed (Skyrim.esm:09E0BB)|mag=4|area=0|dur=15; DLC1VampireMesmerizeMagicEffect (Dawnguard.esm:00BF72)|mag=0|area=0|dur=30,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01419B,DLC1VampireChalicePower,,Ability,ConstantEffect,Self,DLC1VampireChalicePowerSpell (Dawnguard.esm:01419D)|mag=3|area=0|dur=0; DLC1VampireChalicePowerSpell (Dawnguard.esm:01419D)|mag=5|area=0|dur=0; DLC1VampireChalicePowerSpell (Dawnguard.esm:01419D)|mag=7|area=0|dur=0; DLC1VampireChalicePowerSpell (Dawnguard.esm:01419D)|mag=9|area=0|dur=0; DLC1VampireChalicePowerSpell (Dawnguard.esm:01419D)|mag=1|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00283B,DLC1VampireChange,,LesserPower,FireAndForget,Self,DLC1VampireChangeEffect (Dawnguard.esm:00283C)|mag=0|area=0|dur=30,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00283D,DLC1VampireChangeFX,,Spell,FireAndForget,Self,DLC1VampireChangeFXEffect (Dawnguard.esm:00283E)|mag=0|area=0|dur=6,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:012D18,DLC1VampireChangeStagger,,Spell,FireAndForget,Self,DLC1StaggerPushFFSelfArea (Dawnguard.esm:012D17)|mag=0.5|area=10|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0038B8,DLC1VampireDetectLife,,LesserPower,FireAndForget,Self,DLC1VampireDetectLifeCombatExteriorSelfFF (Dawnguard.esm:010A80)|mag=10|area=200|dur=2; DLC1VampireDetectLifeCombatInteriorSelfFF (Dawnguard.esm:010A7F)|mag=20|area=100|dur=2,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019324,DLC1VampireDrain05Alt,,Spell,FireAndForget,Aimed,DLC1PCVampireAbsorbHealthFFAimed (Dawnguard.esm:019321)|mag=15|area=10|dur=1; DLC1PCVampireAbsorbMagickaFFAimed (Dawnguard.esm:019322)|mag=15|area=10|dur=1; DLC1PCVampireAbsorbStaminaFFAimed (Dawnguard.esm:019323)|mag=15|area=10|dur=1; DLC1PCVampireDamageHealthFFAimed (Dawnguard.esm:019325)|mag=50|area=10|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019326,DLC1VampireDrain06Alt,,Spell,FireAndForget,Aimed,DLC1PCVampireAbsorbHealthFFAimed (Dawnguard.esm:019321)|mag=17.5|area=10|dur=1; DLC1PCVampireAbsorbMagickaFFAimed (Dawnguard.esm:019322)|mag=17.5|area=10|dur=1; DLC1PCVampireAbsorbStaminaFFAimed (Dawnguard.esm:019323)|mag=17.5|area=10|dur=1; DLC1PCVampireDamageHealthFFAimed (Dawnguard.esm:019325)|mag=70|area=10|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019AD5,DLC1VampireDrain07Alt,,Spell,FireAndForget,Aimed,DLC1PCVampireAbsorbHealthFFAimed (Dawnguard.esm:019321)|mag=20|area=10|dur=1; DLC1PCVampireAbsorbMagickaFFAimed (Dawnguard.esm:019322)|mag=20|area=10|dur=1; DLC1PCVampireAbsorbStaminaFFAimed (Dawnguard.esm:019323)|mag=20|area=10|dur=1; DLC1PCVampireDamageHealthFFAimed (Dawnguard.esm:019325)|mag=90|area=10|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019AD6,DLC1VampireDrain08Alt,,Spell,FireAndForget,Aimed,DLC1PCVampireAbsorbHealthFFAimed (Dawnguard.esm:019321)|mag=22.5|area=10|dur=1; DLC1PCVampireAbsorbMagickaFFAimed (Dawnguard.esm:019322)|mag=22.5|area=10|dur=1; DLC1PCVampireAbsorbStaminaFFAimed (Dawnguard.esm:019323)|mag=22.5|area=10|dur=1; DLC1PCVampireDamageHealthFFAimed (Dawnguard.esm:019325)|mag=120|area=10|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019AD7,DLC1VampireDrain09Alt,,Spell,FireAndForget,Aimed,DLC1PCVampireAbsorbHealthFFAimed (Dawnguard.esm:019321)|mag=25|area=10|dur=1; DLC1PCVampireAbsorbMagickaFFAimed (Dawnguard.esm:019322)|mag=25|area=10|dur=1; DLC1PCVampireAbsorbStaminaFFAimed (Dawnguard.esm:019323)|mag=25|area=10|dur=1; DLC1PCVampireDamageHealthFFAimed (Dawnguard.esm:019325)|mag=150|area=10|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E7DA,DLC1VampireGripDmg,,Spell,Concentration,Aimed,DLC1nVampireBloodyGripCloakDMGEffect (Dawnguard.esm:00E7E8)|mag=5|area=0|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0029AC,DLC1VampireImmolate,,LesserPower,FireAndForget,Self,DLC1FireDamageFFSelfArea65 (Dawnguard.esm:0029AB)|mag=50|area=65|dur=1,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:012D15,DLC1VampireLordSunDamage,,Ability,ConstantEffect,Self,VampireAbDamageStaminaRate (Skyrim.esm:10DE18)|mag=90|area=0|dur=0; VampireAbDamageHealRate (Skyrim.esm:10DE1A)|mag=90|area=0|dur=0; VampireAbDamageMagickaRate (Skyrim.esm:10DE1B)|mag=90|area=0|dur=0; AbVampireSunDamage04 (Skyrim.esm:0FD80B)|mag=0|area=0|dur=0; AbVampireDamageHealth (Skyrim.esm:10F15A)|mag=60|area=0|dur=0; AbVampireDamageMagicka (Skyrim.esm:10F158)|mag=60|area=0|dur=0; AbVampireDamageStamina (Skyrim.esm:10F159)|mag=60|area=0|dur=0,curse/disease state source,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0038BA,DLC1VampireMistform,,LesserPower,FireAndForget,Self,DLC1MistformEffect (Dawnguard.esm:01A321)|mag=0|area=0|dur=15; DLC1FortifyHealRate (Dawnguard.esm:0059A0)|mag=250|area=0|dur=15; DLC1FortifyMagickaRateFFSelf (Dawnguard.esm:0029E1)|mag=100|area=0|dur=15; DLC1FortifyStaminaRateFFSelf (Dawnguard.esm:0029E3)|mag=50|area=0|dur=15; DLC1MistformInvisEffect (Dawnguard.esm:01AA35)|mag=95|area=0|dur=15; DLC1MistformMuffle (Dawnguard.esm:012D19)|mag=1|area=0|dur=15,curse/disease state source,candidate-extracted
