keyword,record_count,examples,validation
ArmorBoots (Skyrim.esm:06C0ED),75,ARMO:EnchArmorLeatherBootsStamina03 (Skyrim.esm); ARMO:EnchArmorLeatherBootsStamina02 (Skyrim.esm); ARMO:EnchArmorLeatherBootsStamina01 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina03 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina02 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina01 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina03 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina02 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina03 (Skyrim.esm); ARMO:ArmorElvenLightBoots (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistShock05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistShock04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistShock03 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFrost05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFrost04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFrost03 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFire05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFire04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsResistFire03 (Skyrim.esm); ARMO:EnchArmorEbonyBootsMuffle (Skyrim.esm); ARMO:EnchArmorEbonyBootsCarry05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsCarry04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsCarry03 (Skyrim.esm); ARMO:EnchArmorElvenBootsSneak04 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistShock04 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFrost04 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFire04 (Skyrim.esm); ARMO:EnchArmorElvenBootsSneak03 (Skyrim.esm); ARMO:EnchArmorElvenBootsSneak02 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistShock03 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistShock02 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFrost03 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFrost02 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFire03 (Skyrim.esm); ARMO:EnchArmorElvenBootsResistFire02 (Skyrim.esm); ARMO:EnchArmorElvenBootsCarry04 (Skyrim.esm); ARMO:EnchArmorElvenBootsCarry03 (Skyrim.esm); ARMO:EnchArmorElvenBootsCarry02 (Skyrim.esm),extracted-from-current-detail-pass
ArmorClothing (Skyrim.esm:06BBE8),15,ARMO:EnchClothesNecroRobesAlteration06 (Skyrim.esm); ARMO:EnchClothesNecroRobesAlteration05 (Skyrim.esm); ARMO:EnchClothesNecroRobesAlteration04 (Skyrim.esm); ARMO:EnchClothesNecroRobesAlteration03 (Skyrim.esm); ARMO:EnchClothesNecroRobesAlteration02 (Skyrim.esm); ARMO:EnchClothesNecroRobesAlteration01 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration06 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration05 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration04 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration03 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration02 (Skyrim.esm); ARMO:EnchClothesWarlockRobesAlteration01 (Skyrim.esm); ARMO:ArmorBriarHeartEmpty (Skyrim.esm); ARMO:ArmorBriarHeart (Skyrim.esm); ARMO:DLC2MiraakSkinHider (Dragonborn.esm),extracted-from-current-detail-pass
ArmorCuirass (Skyrim.esm:06C0EC),176,ARMO:EnchArmorElvenBootsStamina04 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration02 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration01 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion02 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion01 (Skyrim.esm),extracted-from-current-detail-pass
ArmorGauntlets (Skyrim.esm:06C0EF),93,ARMO:ArmorElvenLightGauntlets (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsTwoHanded05 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsTwoHanded04 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsTwoHanded03 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsSmithing05 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsSmithing04 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsSmithing03 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsOneHanded05 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsOneHanded04 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsOneHanded03 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsMarksman05 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsMarksman04 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsMarksman03 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsAlchemy05 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsAlchemy04 (Skyrim.esm); ARMO:EnchArmorEbonyGauntletsAlchemy03 (Skyrim.esm); ARMO:EnchArmorLeatherGauntletsAlchemy03 (Skyrim.esm); ARMO:EnchArmorLeatherGauntletsAlchemy02 (Skyrim.esm); ARMO:EnchArmorLeatherGauntletsAlchemy01 (Skyrim.esm); ARMO:EnchArmorHideGauntletsAlchemy03 (Skyrim.esm); ARMO:EnchArmorHideGauntletsAlchemy02 (Skyrim.esm); ARMO:EnchArmorHideGauntletsAlchemy01 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy02 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsTwoHanded04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsSmithing04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsPickpocket04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsOneHanded04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsMarksman04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsLockpicking04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsTwoHanded03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsTwoHanded02 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsSmithing03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsSmithing02 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsPickpocket03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsPickpocket02 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsOneHanded03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsOneHanded02 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsMarksman03 (Skyrim.esm),extracted-from-current-detail-pass
ArmorHeavy (Skyrim.esm:06BBD2),129,ARMO:EnchArmorEbonyBootsStamina05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina03 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorSteelPlateCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorSteelCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorOrcishCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorIronBandedCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorIronCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorDwarvenCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorDwarvenCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorDragonplateCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorDragonplateCuirassAlteration06 (Skyrim.esm); ARMO:EnchArmorDragonplateCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorDaedricCuirassAlteration06 (Skyrim.esm); ARMO:EnchArmorDaedricCuirassAlteration05 (Skyrim.esm),extracted-from-current-detail-pass
ArmorHelmet (Skyrim.esm:06C0EE),107,ARMO:ArmorElvenLightHelmet (Skyrim.esm); ARMO:ArmorEastmarchHelmetFull (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate03 (Skyrim.esm); ARMO:ArmorDragonPriestMaskMoonstoneHelmet (Skyrim.esm); ARMO:EnchArmorEbonyHelmetWaterbreathing (Skyrim.esm); ARMO:EnchArmorEbonyHelmetRestoration05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetRestoration04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetRestoration03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMarksman05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMarksman04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMarksman03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagicka05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagicka04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagicka03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetIllusion05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetIllusion04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetIllusion03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetDestruction05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetDestruction04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetDestruction03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetConjuration05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetConjuration04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetConjuration03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlteration05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlteration04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlteration03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlchemy05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlchemy04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetAlchemy03 (Skyrim.esm); ARMO:EnchArmorLeatherHelmetAlchemy03 (Skyrim.esm); ARMO:EnchArmorLeatherHelmetAlchemy02 (Skyrim.esm); ARMO:EnchArmorLeatherHelmetAlchemy01 (Skyrim.esm); ARMO:EnchArmorHideHelmetAlchemy03 (Skyrim.esm); ARMO:EnchArmorHideHelmetAlchemy02 (Skyrim.esm); ARMO:EnchArmorHideHelmetAlchemy01 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy04 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy03 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy02 (Skyrim.esm),extracted-from-current-detail-pass
ArmorJewelry (Skyrim.esm:06BBE9),7,ARMO:EnchNecklaceResistPoison02 (Skyrim.esm); ARMO:EnchNecklaceResistPoison01 (Skyrim.esm); ARMO:DLC2dunFrostmoonRingBloodlust (Dragonborn.esm); ARMO:DLC2dunFrostmoonRingInstinct (Dragonborn.esm); ARMO:DLC2dunFrostmoonRingMoon (Dragonborn.esm); ARMO:DLC2dunFrostmoonRingHunt (Dragonborn.esm); ARMO:DLC2HeartstoneNecklace (Dragonborn.esm),extracted-from-current-detail-pass
ArmorLight (Skyrim.esm:06BBD3),322,ARMO:EnchArmorLeatherBootsStamina03 (Skyrim.esm); ARMO:EnchArmorLeatherBootsStamina02 (Skyrim.esm); ARMO:EnchArmorLeatherBootsStamina01 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina03 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina02 (Skyrim.esm); ARMO:EnchArmorHideBootsStamina01 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina04 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina03 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina02 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorScaledCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassRestoration01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassIllusion01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassDestruction01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassConjuration01 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorLeatherCuirassAlteration01 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration02 (Skyrim.esm); ARMO:EnchArmorHideCuirassRestoration01 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion02 (Skyrim.esm); ARMO:EnchArmorHideCuirassIllusion01 (Skyrim.esm); ARMO:EnchArmorHideCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorHideCuirassDestruction02 (Skyrim.esm); ARMO:EnchArmorHideCuirassDestruction01 (Skyrim.esm); ARMO:EnchArmorHideCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorHideCuirassConjuration02 (Skyrim.esm); ARMO:EnchArmorHideCuirassConjuration01 (Skyrim.esm); ARMO:EnchArmorHideCuirassAlteration03 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialDaedric (Skyrim.esm:06BBD4),4,ARMO:EnchArmorDaedricCuirassAlteration06 (Skyrim.esm); ARMO:EnchArmorDaedricCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorDaedricCuirassAlteration04 (Skyrim.esm); ARMO:ArmorDragonPriestMaskMoonstoneHelmet (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialDragonplate (Skyrim.esm:06BBD5),3,ARMO:EnchArmorDragonplateCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorDragonplateCuirassAlteration06 (Skyrim.esm); ARMO:EnchArmorDragonplateCuirassAlteration04 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialDragonscale (Skyrim.esm:06BBD6),3,ARMO:EnchArmorDragonscaleCuirassAlteration06 (Skyrim.esm); ARMO:EnchArmorDragonscaleCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorDragonscaleCuirassAlteration04 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialDwarven (Skyrim.esm:06BBD7),3,ARMO:EnchArmorDwarvenCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorDwarvenCuirassAlteration02 (Skyrim.esm); ARMO:EnchArmorDwarvenCuirassAlteration03 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialEbony (Skyrim.esm:06BBD8),107,ARMO:EnchArmorEbonyShieldResistMagic05 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistMagic04 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistMagic03 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina05 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina04 (Skyrim.esm); ARMO:EnchArmorEbonyBootsStamina03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate05 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate04 (Skyrim.esm); ARMO:EnchArmorEbonyHelmetMagickaRate03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassStaminaRate05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassStaminaRate04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassStaminaRate03 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassHealthRate05 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassHealthRate04 (Skyrim.esm); ARMO:EnchArmorEbonyCuirassHealthRate03 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistShock05 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistShock04 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistShock03 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFrost05 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFrost04 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFrost03 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFire05 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFire04 (Skyrim.esm); ARMO:EnchArmorEbonyShieldResistFire03 (Skyrim.esm); ARMO:EnchArmorEbonyShieldBlock05 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialElven (Skyrim.esm:06BBD9),112,ARMO:EnchArmorElvenShieldBlock04 (Skyrim.esm); ARMO:EnchArmorElvenShieldBlock03 (Skyrim.esm); ARMO:EnchArmorElvenShieldBlock02 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistMagic04 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistMagic03 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistMagic02 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina04 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina03 (Skyrim.esm); ARMO:EnchArmorElvenBootsStamina02 (Skyrim.esm); ARMO:EnchArmorElvenCuirassRestoration04 (Skyrim.esm); ARMO:EnchArmorElvenCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorElvenCuirassRestoration02 (Skyrim.esm); ARMO:EnchArmorElvenCuirassIllusion04 (Skyrim.esm); ARMO:EnchArmorElvenCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorElvenCuirassIllusion02 (Skyrim.esm); ARMO:EnchArmorElvenCuirassDestruction04 (Skyrim.esm); ARMO:EnchArmorElvenCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorElvenCuirassDestruction02 (Skyrim.esm); ARMO:EnchArmorElvenCuirassConjuration04 (Skyrim.esm); ARMO:EnchArmorElvenCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorElvenCuirassConjuration02 (Skyrim.esm); ARMO:EnchArmorElvenCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorElvenCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorElvenCuirassAlteration02 (Skyrim.esm); ARMO:ArmorElvenLightHelmet (Skyrim.esm); ARMO:ArmorElvenLightGauntlets (Skyrim.esm); ARMO:ArmorElvenLightCuirass (Skyrim.esm); ARMO:ArmorElvenLightBoots (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy04 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy03 (Skyrim.esm); ARMO:EnchArmorElvenGauntletsAlchemy02 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy04 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy03 (Skyrim.esm); ARMO:EnchArmorElvenHelmetAlchemy02 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistShock04 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistFrost04 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistFire04 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistShock03 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistFrost03 (Skyrim.esm); ARMO:EnchArmorElvenShieldResistFire03 (Skyrim.esm),extracted-from-current-detail-pass
ArmorMaterialElvenGilded (Skyrim.esm:06BBDA),29,ARMO:EnchArmorElvenGildedCuirassRestoration05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassIllusion05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassDestruction05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassConjuration05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassAlteration05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassRestoration04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassRestoration03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassIllusion04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassIllusion03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassDestruction04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassDestruction03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassConjuration04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassConjuration03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassAlteration04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassAlteration03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassStaminaRate05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassStaminaRate04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassStaminaRate03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealRate05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealRate04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealRate03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassLightArmor05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassLightArmor04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassLightArmor03 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealth05 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealth04 (Skyrim.esm); ARMO:EnchArmorElvenGildedCuirassHealth03 (Skyrim.esm); ARMO:ArmorElvenGildedCuirass (Skyrim.esm); ARMO:ArmorElvenGildedCuirass (Update.esm),extracted-from-current-detail-pass
