plugin,formid,editor_id,name,enchant_type,cast_type,target_type,charge_amount,effects,modding_use,validation
Dawnguard.esm,Dawnguard.esm:00F3C8,TrapPoisonBloomGasEnch02,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=7|area=0|dur=6,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00F3C9,TrapPoisonBloomGasEnch03,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=9|area=0|dur=6,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00F3CA,TrapPoisonBloomGasEnch04,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=11|area=0|dur=6,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00F3CB,TrapPoisonBloomGasEnch05,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=13|area=0|dur=6,enchantment effect reference,extracted
Dawnguard.esm,Dawnguard.esm:00F3CC,TrapPoisonBloomGasEnch06,,Enchantment,FireAndForget,Touch,0,TrapPoisonGasMagicEffect (Skyrim.esm:09F28F)|mag=15|area=0|dur=6,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:03D37C,BoundDaggerEnchantment,,Enchantment,FireAndForget,Touch,0,EnchBoundDaggerFX (Dragonborn.esm:03D37B)|mag=1|area=0|dur=0; PerkOblivionBindingFFContact (Skyrim.esm:0D799D)|mag=99|area=0|dur=0; PerkSoulStealerFFContact (Skyrim.esm:0D799F)|mag=0|area=0|dur=5; PerkTurnUndeadFFContact (Skyrim.esm:0E826D)|mag=99|area=0|dur=30,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:01AEA6,DLC2BloodskalEnch,,Enchantment,ConstantEffect,Self,0,DLC2BloodskalBladeEffect (Dragonborn.esm:01AEA7)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:01BFF0,dlc2DBEnchDragonSword,,Enchantment,FireAndForget,Touch,0,dlc2DBDragonSwordEffect (Dragonborn.esm:01BFF3)|mag=180|area=0|dur=2,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:019619,DLC2DetectAshSource,,Enchantment,ConstantEffect,Self,0,DLC2DetectAshSourceScriptEffect (Dragonborn.esm:01961B)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:035B25,DLC2dunFrostmoonRingBloodlustEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunFrostmoonRingBloodlustEnchEffect (Dragonborn.esm:035B26)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:035B23,DLC2dunFrostmoonRingHuntRegenEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunFrostmoonRingHuntRegenEnchEffect (Dragonborn.esm:035B24)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:035B22,DLC2dunFrostmoonRingInstinctSlowTimeEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunFrostmoonRingInstinctSlowTimeEnchEffect (Dragonborn.esm:035B21)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:035B1F,DLC2dunFrostmoonRingMoonMagnifyHowlsEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunFrostmoonRingMoonMagnifyHowlsEffect (Dragonborn.esm:035B20)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:02401E,DLC2dunHaknirEnchBoots,,Enchantment,ConstantEffect,Self,2789,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=10|area=0|dur=0; EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=20|area=0|dur=0; EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=30|area=0|dur=0; EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:024020,DLC2dunHaknirEnchCuirass,,Enchantment,ConstantEffect,Self,1306,EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=15|area=0|dur=0; EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=30|area=0|dur=0; EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=45|area=0|dur=0; EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=60|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:02401F,DLC2dunHaknirEnchGauntlets,,Enchantment,ConstantEffect,Self,3068,EnchFortifyOneHandedConstantSelf (Skyrim.esm:07A0FF)|mag=10|area=0|dur=0; EnchFortifyOneHandedConstantSelf (Skyrim.esm:07A0FF)|mag=20|area=0|dur=0; EnchFortifyOneHandedConstantSelf (Skyrim.esm:07A0FF)|mag=30|area=0|dur=0; EnchFortifyOneHandedConstantSelf (Skyrim.esm:07A0FF)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:024021,DLC2dunHaknirEnchHelm,,Enchantment,ConstantEffect,Self,100,EnchWaterbreathingConstantSelf (Skyrim.esm:092A48)|mag=1|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:03804F,DLC2dunHaknirEnchScimitar01,,Enchantment,FireAndForget,Touch,62,EnchAbsorbHealthFFContact (Skyrim.esm:0AA155)|mag=15|area=0|dur=1; DLC2dunHaknirScimitarDamageArmor (Dragonborn.esm:038053)|mag=50|area=0|dur=15,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:038056,DLC2dunHaknirEnchScimitar01NP,,Enchantment,FireAndForget,Touch,62,EnchAbsorbHealthFFContact (Skyrim.esm:0AA155)|mag=15|area=0|dur=1; DLC2dunHaknirScimitarDamageArmor (Dragonborn.esm:038053)|mag=50|area=0|dur=15,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:038051,DLC2dunHaknirEnchScimitar02,,Enchantment,FireAndForget,Touch,65,EnchAbsorbMagickaFFContact (Skyrim.esm:0AA156)|mag=15|area=0|dur=1; DLC2dunHaknirScimitarDispelMagic (Dragonborn.esm:038054)|mag=1|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:038058,DLC2dunHaknirEnchScimitar02NP,,Enchantment,FireAndForget,Touch,65,EnchAbsorbMagickaFFContact (Skyrim.esm:0AA156)|mag=15|area=0|dur=1; DLC2dunHaknirScimitarDispelMagic (Dragonborn.esm:038054)|mag=1|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:03D58A,DLC2dunKolbjorn_EnchBlank,,Enchantment,ConstantEffect,Self,9,DLC2dunKolbjorn_EnchBlankEffect (Dragonborn.esm:03D58B)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:01C656,DLC2dunKolbjornBootsWaterwalking,,Enchantment,ConstantEffect,Self,0,AbWaterwalking (Skyrim.esm:08CAC9)|mag=0|area=0|dur=0; DLC2dunKolbjorn_EnchBlankEffect (Dragonborn.esm:03D58B)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:036685,DLC2dunKolbjornGauntletsEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunKolbjornGauntletsEnchEffect (Dragonborn.esm:036686)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:036687,DLC2dunKolbjornHelmEnch,,Enchantment,ConstantEffect,Self,0,DLC2dunKolbjornHelmEnchEffect (Dragonborn.esm:036688)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0373D6,DLC2dunKolbjornRalisPickaxeEnch,,Enchantment,FireAndForget,Touch,32,EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=15|area=0|dur=0; FrostSlowFFContact (Skyrim.esm:0B72A0)|mag=50|area=0|dur=3; DLC2dunKolbjornRalisPickaxeParalyze (Dragonborn.esm:0373D5)|mag=0|area=0|dur=5,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:0250E1,DLC2EnchAcolyteMaskFire,,Enchantment,ConstantEffect,Self,665,EnchResistFireConstantSelf (Skyrim.esm:048C8B)|mag=50|area=0|dur=0; DLC2dunAcolyteMaskFireBoostEnchEffect (Dragonborn.esm:036683)|mag=0|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0250E2,DLC2EnchAcolyteMaskFrost,,Enchantment,ConstantEffect,Self,702,EnchResistFrostConstantSelf (Skyrim.esm:048F45)|mag=50|area=0|dur=0; DLC2dunAcolyteMaskFrostBoostEnchEffect (Dragonborn.esm:036684)|mag=0|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0250E3,DLC2EnchAcolyteMaskShock,,Enchantment,ConstantEffect,Self,739,EnchResistShocktConstantSelf (Skyrim.esm:049295)|mag=50|area=0|dur=0; DLC2dunAcolyteMaskShockBoostEnchEffect (Dragonborn.esm:036682)|mag=0|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Dragonborn.esm,Dragonborn.esm:01E287,DLC2EnchArmorDragonAbsorb,,Enchantment,ConstantEffect,Self,0,DLC2EnchDragonAbsorb (Dragonborn.esm:01E285)|mag=15|area=0|dur=0; DLC2EnchDragonAbsorbBoost (Dragonborn.esm:01E28A)|mag=5|area=0|dur=0; DLC2EnchDragonAbsorbBoost (Dragonborn.esm:01E28A)|mag=5|area=0|dur=0,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:01E288,DLC2EnchArmorDragonAbsorbBoost,,Enchantment,ConstantEffect,Self,0,DLC2EnchDragonAbsorbFake (Dragonborn.esm:01E289)|mag=5|area=0|dur=0,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:0177B2,DLC2EnchAshRuneExplosion,,Enchantment,FireAndForget,Touch,418,DLC2AshShellFFContact (Dragonborn.esm:01D74E)|mag=0|area=0|dur=30,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0339A6,DLC2EnchBallistaStagger50,,Enchantment,FireAndForget,Touch,0,DLC2StaggerBallistaFFContact50 (Dragonborn.esm:0339A5)|mag=100|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0390F5,DLC2EnchBloodskalWeaponGlow,,Enchantment,FireAndForget,Touch,0,DLC2BloodskalEnchGlowEffect (Dragonborn.esm:0390F6)|mag=5|area=0|dur=1,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0177BB,DLC2EnchFrenzyRuneExplosion,,Enchantment,FireAndForget,Touch,253,DLC2EnchInfluenceAggUpFFContact (Dragonborn.esm:0177BC)|mag=20|area=0|dur=30; DLC2PerkMasterMindAggUpFFContact (Dragonborn.esm:0285BF)|mag=20|area=0|dur=30,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:01D749,DLC2EnchPoisonRuneExplosion,,Enchantment,FireAndForget,Touch,0,DLC2EnchPoisonRuneFFContact (Dragonborn.esm:01D74A)|mag=2|area=0|dur=30,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:02C46F,DLC2EnchWeaponChaosDamage03,,Enchantment,FireAndForget,Touch,29,DLC2EnchFireDamageFFContact50 (Dragonborn.esm:02C46B)|mag=15|area=0|dur=1; DLC2EnchFrostDamageFFContact50 (Dragonborn.esm:02C46D)|mag=15|area=0|dur=1; DLC2EnchShockDamageFFContact50 (Dragonborn.esm:02C46C)|mag=15|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:02C470,DLC2EnchWeaponChaosDamage04,,Enchantment,FireAndForget,Touch,40,DLC2EnchFireDamageFFContact50 (Dragonborn.esm:02C46B)|mag=20|area=0|dur=1; DLC2EnchFrostDamageFFContact50 (Dragonborn.esm:02C46D)|mag=20|area=0|dur=1; DLC2EnchShockDamageFFContact50 (Dragonborn.esm:02C46C)|mag=20|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:02C471,DLC2EnchWeaponChaosDamage05,,Enchantment,FireAndForget,Touch,52,DLC2EnchFireDamageFFContact50 (Dragonborn.esm:02C46B)|mag=25|area=0|dur=1; DLC2EnchFrostDamageFFContact50 (Dragonborn.esm:02C46D)|mag=25|area=0|dur=1; DLC2EnchShockDamageFFContact50 (Dragonborn.esm:02C46C)|mag=25|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:02C472,DLC2EnchWeaponChaosDamage06,,Enchantment,FireAndForget,Touch,64,DLC2EnchFireDamageFFContact50 (Dragonborn.esm:02C46B)|mag=30|area=0|dur=1; DLC2EnchFrostDamageFFContact50 (Dragonborn.esm:02C46D)|mag=30|area=0|dur=1; DLC2EnchShockDamageFFContact50 (Dragonborn.esm:02C46C)|mag=30|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:02C46E,DLC2EnchWeaponChaosDamageBase,,Enchantment,FireAndForget,Touch,19,DLC2EnchFireDamageFFContact50 (Dragonborn.esm:02C46B)|mag=10|area=0|dur=1; DLC2EnchFrostDamageFFContact50 (Dragonborn.esm:02C46D)|mag=10|area=0|dur=1; DLC2EnchShockDamageFFContact50 (Dragonborn.esm:02C46C)|mag=10|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:035529,DLC2EnchWeaponKagrumezFateBow,,Enchantment,FireAndForget,Touch,109,DLC2EnchAbsorbHealthFFContact50 (Dragonborn.esm:03570C)|mag=25|area=0|dur=1; DLC2EnchAbsorbMagickaFFContact50 (Dragonborn.esm:03570E)|mag=25|area=0|dur=1; DLC2EnchAbsorbStaminaFFContact50 (Dragonborn.esm:03570F)|mag=25|area=0|dur=1,combat enchantment reference,extracted
Dragonborn.esm,Dragonborn.esm:0322AA,DLC2ExpSpiderFireBombDMG,,Enchantment,FireAndForget,Touch,2430,DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=26|area=0|dur=0; DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=42|area=0|dur=0; DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=58|area=0|dur=0; DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=74|area=0|dur=0; DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=90|area=0|dur=0; DLC2ExpSpiderFireBombFFContact (Dragonborn.esm:0322AB)|mag=106|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0322A8,DLC2ExpSpiderFrostBombDMG,,Enchantment,FireAndForget,Touch,2430,DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=106|area=0|dur=0; DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=90|area=0|dur=0; DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=74|area=0|dur=0; DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=58|area=0|dur=0; DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=42|area=0|dur=0; DLC2ExpSpiderFrostBombFFContact (Dragonborn.esm:0322A9)|mag=26|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0322AE,DLC2ExpSpiderPoisonBombDMG,,Enchantment,FireAndForget,Touch,2430,DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=26|area=0|dur=0; DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=42|area=0|dur=0; DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=58|area=0|dur=0; DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=74|area=0|dur=0; DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=90|area=0|dur=0; DLC2ExpSpiderPoisonBombFFContact (Dragonborn.esm:0322AF)|mag=106|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0322AC,DLC2ExpSpiderShockBombDMG,,Enchantment,FireAndForget,Touch,2430,DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=26|area=0|dur=0; DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=42|area=0|dur=0; DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=58|area=0|dur=0; DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=74|area=0|dur=0; DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=90|area=0|dur=0; DLC2ExpSpiderShockBombFFContact (Dragonborn.esm:0322AD)|mag=106|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0260E9,DLC2KagrumezElectrifiedWaterEnch,,Enchantment,FireAndForget,Touch,29,DLC2KagrumezElectrifiedWaterEffect (Dragonborn.esm:0260E8)|mag=10|area=0|dur=5,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:02662A,DLC2KagrumezSteamEnch,,Enchantment,FireAndForget,Touch,98,DLC2KagrumezSteamEffect (Dragonborn.esm:02662B)|mag=15|area=0|dur=0,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:03CEFC,DLC2LurkerEnchStagger,,Enchantment,FireAndForget,Touch,0,DLC2LurkerStaggerAttackFFContact (Dragonborn.esm:03CEFA)|mag=100|area=0|dur=2,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:018ED6,dlc2MerchEnchWeapBowOfTheStagPrince,,Enchantment,FireAndForget,Touch,0,dlc2MerchBowOfTheStagPrinceIncEffect (Dragonborn.esm:018ED7)|mag=0|area=0|dur=2,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:039FAF,DLC2MKEnchMiraakSword1,,Enchantment,FireAndForget,Touch,1,DLC2MiraakSwordTentacles (Dragonborn.esm:0397F4)|mag=15|area=0|dur=1,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:0397F3,DLC2MKEnchMiraakSword2,,Enchantment,FireAndForget,Touch,1,DLC2MiraakSwordTentacles (Dragonborn.esm:0397F4)|mag=15|area=0|dur=1,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:039FB3,DLC2MKEnchMiraakSword3,,Enchantment,FireAndForget,Touch,1,DLC2MiraakSwordTentacles (Dragonborn.esm:0397F4)|mag=15|area=0|dur=1,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:039FB6,DLC2MKEnchMiraakSwordNPC,,Enchantment,FireAndForget,Touch,1,DLC2MiraakSwordTentacles (Dragonborn.esm:0397F4)|mag=15|area=0|dur=1,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:03D128,dlc2MKEncMiraakFightStaff1,,StaffEnchantment,Concentration,Aimed,0,DLC2MiraaksStaffTentaclesEffect (Dragonborn.esm:03A3D2)|mag=1|area=0|dur=30,enchantment effect reference,extracted
Dragonborn.esm,Dragonborn.esm:039D24,dlc2MKEncMiraakRobe01,,Enchantment,ConstantEffect,Self,924,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=5|area=0|dur=0; EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=5|area=0|dur=0; EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=5|area=0|dur=0; EnchFortifyRestorationConstantSelf (Skyrim.esm:07A101)|mag=5|area=0|dur=0; EnchFortifyIllusionConstantSelf (Skyrim.esm:07A0FA)|mag=5|area=0|dur=0; EnchFortifyMagickaRateConstantSelf (Skyrim.esm:07A0FD)|mag=75|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
