plugin,formid,editor_id,name,race,template,factions,keywords,ai_aggression,ai_assistance,modding_use,validation
Dawnguard.esm,Dawnguard.esm:010DE5,DLC1DawnguardExterior01,,NordRace (Skyrim.esm:013746),DLC1EncHunterTemplate (Dawnguard.esm:00336F),DLC1DawnguardExteriorGuardFaction (Dawnguard.esm:010EC1):rank0; DLC1HunterFaction (Dawnguard.esm:003375):rank0; CrimeFactionRift (Skyrim.esm:02816B):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010DE6,DLC1DawnguardExterior02,,NordRace (Skyrim.esm:013746),DLC1EncHunterTemplate (Dawnguard.esm:00336F),CrimeFactionRift (Skyrim.esm:02816B):rank0; DLC1DawnguardExteriorGuardFaction (Dawnguard.esm:010EC1):rank0; DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010DE7,DLC1DawnguardExterior03,,NordRace (Skyrim.esm:013746),DLC1EncHunterTemplate (Dawnguard.esm:00336F),DLC1DawnguardExteriorGuardFaction (Dawnguard.esm:010EC1):rank0; DLC1HunterFaction (Dawnguard.esm:003375):rank0; CrimeFactionRift (Skyrim.esm:02816B):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:010DED,DLC1DawnguardExterior04,,OrcRace (Skyrim.esm:013747),DLC1EncHunterTemplate (Dawnguard.esm:00336F),DLC1DawnguardExteriorGuardFaction (Dawnguard.esm:010EC1):rank0; DLC1HunterFaction (Dawnguard.esm:003375):rank0; CrimeFactionRift (Skyrim.esm:02816B):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008D21,DLC1dunRedwaterDenKhajiitM,,FoxRace (Skyrim.esm:109C7C),DLC1LvlBanditMeleeKhajiitM (Dawnguard.esm:008CA9),,,Unaggressive,HelpsNobody,Khajiit community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3C0,DLC1dunRedwaterDenVampireThrallDealer,,WoodElfRace (Skyrim.esm:013749),DLC1dunRedwaterDenVampireThrallMissileEvenTonedF (Dawnguard.esm:008D27),VampireThrallFaction (Skyrim.esm:02EB13):rank0,,Aggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008D27,DLC1dunRedwaterDenVampireThrallMissileEvenTonedF,,WoodElfRace (Skyrim.esm:013749),LvlVampireThrallMissileEvenTonedF (Skyrim.esm:02EEDF),VampireThrallFaction (Skyrim.esm:02EB13):rank0,,Aggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008D28,DLC1dunRedwaterDenVampireThrallWizardEvenTonedM,,FoxRace (Skyrim.esm:109C7C),LCharBanditWizardEvenTonedM (Skyrim.esm:01B0F5),VampireThrallFaction (Skyrim.esm:02EB13):rank0,,Aggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FB,DLC1EncVampire00BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire00Template (Skyrim.esm:032FE7),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FA,DLC1EncVampire00DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire00Template (Skyrim.esm:032FE7),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176F9,DLC1EncVampire00NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire00Template (Skyrim.esm:032FE7),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01223F,DLC1EncVampire00TemplateBoss,,NordRaceVampire (Skyrim.esm:088794),EncVampire00Template (Skyrim.esm:032FE7),VampireFaction (Skyrim.esm:027242):rank0; PreyFaction (Skyrim.esm:02E894):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FC,DLC1EncVampire01BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire01Template (Skyrim.esm:032FE8),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FD,DLC1EncVampire01DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire01Template (Skyrim.esm:032FE8),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FE,DLC1EncVampire01NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire01Template (Skyrim.esm:032FE8),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01223E,DLC1EncVampire01TemplateBoss,,NordRaceVampire (Skyrim.esm:088794),EncVampire01Template (Skyrim.esm:032FE8),VampireFaction (Skyrim.esm:027242):rank0; PreyFaction (Skyrim.esm:02E894):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0176FF,DLC1EncVampire02BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire02Template (Skyrim.esm:03384E),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017700,DLC1EncVampire02DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire02Template (Skyrim.esm:03384E),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017701,DLC1EncVampire02NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire02Template (Skyrim.esm:03384E),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F84,DLC1EncVampire03BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire03Template (Skyrim.esm:03384F),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F85,DLC1EncVampire03DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire03Template (Skyrim.esm:03384F),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F86,DLC1EncVampire03NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire03Template (Skyrim.esm:03384F),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F87,DLC1EncVampire04BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire04Template (Skyrim.esm:033850),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F88,DLC1EncVampire04DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire04Template (Skyrim.esm:033850),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F89,DLC1EncVampire04NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire04Template (Skyrim.esm:033850),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8A,DLC1EncVampire05BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire05Template (Skyrim.esm:033851),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8B,DLC1EncVampire05DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire05Template (Skyrim.esm:033851),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8C,DLC1EncVampire05NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire05Template (Skyrim.esm:033851),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8D,DLC1EncVampire06BretonF,,BretonRaceVampire (Skyrim.esm:08883C),EncVampire06Template (Skyrim.esm:033852),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8E,DLC1EncVampire06DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),EncVampire06Template (Skyrim.esm:033852),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F8F,DLC1EncVampire06NordF,,NordRaceVampire (Skyrim.esm:088794),EncVampire06Template (Skyrim.esm:033852),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002831,DLC1EncVampire07BossBretonM,,BretonRaceVampire (Skyrim.esm:08883C),DLC1EncVampire07TemplateBoss (Dawnguard.esm:00282B),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002832,DLC1EncVampire07BossDarkElfM,,DarkElfRaceVampire (Skyrim.esm:08883D),DLC1EncVampire07TemplateBoss (Dawnguard.esm:00282B),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002833,DLC1EncVampire07BossHighElfM,,HighElfRaceVampire (Skyrim.esm:088840),DLC1EncVampire07TemplateBoss (Dawnguard.esm:00282B),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002834,DLC1EncVampire07BossImperialM,,ImperialRaceVampire (Skyrim.esm:088844),DLC1EncVampire07TemplateBoss (Dawnguard.esm:00282B),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002835,DLC1EncVampire07BossNordM,,NordRaceVampire (Skyrim.esm:088794),DLC1EncVampire07TemplateBoss (Dawnguard.esm:00282B),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282C,DLC1EncVampire07BretonF,,BretonRaceVampire (Skyrim.esm:08883C),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F90,DLC1EncVampire07BretonFAlt,,BretonRaceVampire (Skyrim.esm:08883C),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282D,DLC1EncVampire07DarkElfF,,DarkElfRaceVampire (Skyrim.esm:08883D),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F91,DLC1EncVampire07DarkElfFAlt,,DarkElfRaceVampire (Skyrim.esm:08883D),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282E,DLC1EncVampire07HighElfF,,HighElfRaceVampire (Skyrim.esm:088840),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282F,DLC1EncVampire07ImperialF,,ImperialRaceVampire (Skyrim.esm:088844),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:002830,DLC1EncVampire07NordF,,NordRaceVampire (Skyrim.esm:088794),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017F92,DLC1EncVampire07NordFAlt,,NordRaceVampire (Skyrim.esm:088794),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282A,DLC1EncVampire07Template,,NordRaceVampire (Skyrim.esm:088794),EncVampire00Template (Skyrim.esm:032FE7),VampireFaction (Skyrim.esm:027242):rank0; PreyFaction (Skyrim.esm:02E894):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00282B,DLC1EncVampire07TemplateBoss,,NordRaceVampire (Skyrim.esm:088794),DLC1EncVampire07Template (Dawnguard.esm:00282A),VampireFaction (Skyrim.esm:027242):rank0,,VeryAggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003373,DLC1EncVampireTemplate,,NordRace (Skyrim.esm:013746),EncBandit01TemplateMelee (Skyrim.esm:039CFD),DLC1VampireFaction (Dawnguard.esm:003376):rank0,ActorTypeUndead (Skyrim.esm:013796); Vampire (Skyrim.esm:0A82BB),Aggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003372,DLC1EncVampireTemplateMagic,,NordRace (Skyrim.esm:013746),DLC1EncVampireTemplate (Dawnguard.esm:003373),DLC1VampireFaction (Dawnguard.esm:003376):rank0,ActorTypeUndead (Skyrim.esm:013796); Vampire (Skyrim.esm:0A82BB),Aggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003374,DLC1EncVampireTemplateMissile,,NordRace (Skyrim.esm:013746),DLC1EncVampireTemplate (Dawnguard.esm:003373),DLC1VampireFaction (Dawnguard.esm:003376):rank0,,Aggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01AA77,DLC1HireableVampireDeathhound1,,DLC1DeathHoundCompanionRace (Dawnguard.esm:003D02),DLC1encDeathHound (Dawnguard.esm:00C5EF),CreatureFaction (Skyrim.esm:000013):rank0; CurrentFollowerFaction (Skyrim.esm:05C84E):rank-1; DLC1HireableDogFaction (Dawnguard.esm:01AA75):rank0; DLC1VampireFaction (Dawnguard.esm:003376):rank0; PlayerPotentialAnimalFaction (Skyrim.esm:09A7B2):rank0,,Aggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01AA78,DLC1HireableVampireDeathhound2,,DLC1DeathHoundCompanionRace (Dawnguard.esm:003D02),DLC1HireableVampireDeathhound1 (Dawnguard.esm:01AA77),CreatureFaction (Skyrim.esm:000013):rank0; CurrentFollowerFaction (Skyrim.esm:05C84E):rank-1; DLC1HireableDogFaction (Dawnguard.esm:01AA75):rank0; DLC1VampireFaction (Dawnguard.esm:003376):rank0; PlayerPotentialAnimalFaction (Skyrim.esm:09A7B2):rank0,,Aggressive,HelpsFriendsAndAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008A6D,DLC1HowlSummonWerewolf,,WerewolfBeastRace (Skyrim.esm:0CDD84),EncWerewolf03 (Skyrim.esm:0A092C),CompanionsFaction (Skyrim.esm:048362):rank0; CreatureFaction (Skyrim.esm:000013):rank0; PredatorFaction (Skyrim.esm:02E893):rank0; SprigganPredatorFaction (Skyrim.esm:03E093):rank0; WolfFaction (Skyrim.esm:03E691):rank0,DLC1WerewolfFeedExclude (Dawnguard.esm:015FD3),Unaggressive,HelpsAllies,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3CD,DLC1HunterBaseIntroVigilant1,,NordRace (Skyrim.esm:013746),EncVigilantOfStendarr01MeleeTemplate (Skyrim.esm:10C44C),VigilantOfStendarrFaction (Skyrim.esm:0B3292):rank0,,Aggressive,HelpsFriendsAndAllies,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A3CE,DLC1HunterBaseIntroVigilant2,,NordRace (Skyrim.esm:013746),EncVigilantOfStendarr01MeleeTemplate (Skyrim.esm:10C44C),VigilantOfStendarrFaction (Skyrim.esm:0B3292):rank0,,Aggressive,HelpsFriendsAndAllies,Vigilant/Stendarr actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008CA9,DLC1LvlBanditMeleeKhajiitM,,FoxRace (Skyrim.esm:109C7C),LCharBanditMeleeKhajiitM (Dawnguard.esm:008BF7),,,Unaggressive,HelpsNobody,Khajiit community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:008CAA,DLC1LvlBanditMissileKhajiitM,,FoxRace (Skyrim.esm:109C7C),LCharBanditMissileKhajiitM (Dawnguard.esm:008BF8),,,Unaggressive,HelpsNobody,Khajiit community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014282,DLC1LvlDawnguardMelee1H,,FoxRace (Skyrim.esm:109C7C),LCharDawnguardMelee1H (Dawnguard.esm:014281),DLC1HunterFaction (Dawnguard.esm:003375):rank0; CrimeFactionRift (Skyrim.esm:02816B):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013EC3,DLC1LvlDawnguardMelee1H_NoCrime,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMelee1H (Dawnguard.esm:014282),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A11D,DLC1LvlDawnguardMelee1HNordF,,FoxRace (Skyrim.esm:109C7C),LCharDawnguardMelee1HNordF (Dawnguard.esm:01A11B),,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013EC4,DLC1LvlDawnguardMelee1HNordF_NoCrime,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMelee1HNordF (Dawnguard.esm:01A11D),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A11E,DLC1LvlDawnguardMelee1HOrcM,,FoxRace (Skyrim.esm:109C7C),LCharDawnguardMelee1HOrcM (Dawnguard.esm:01A11A),,,Unaggressive,HelpsNobody,Orc community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013EC5,DLC1LvlDawnguardMelee1HOrcM_NoCrime,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMelee1HOrcM (Dawnguard.esm:01A11E),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,Orc community actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01A11F,DLC1LvlDawnguardMelee1HRedguardM,,FoxRace (Skyrim.esm:109C7C),LCharDawnguardMelee1HRedguardM (Dawnguard.esm:01A11C),,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013EC6,DLC1LvlDawnguardMelee1HRedguardM_NoCrime,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMelee1HRedguardM (Dawnguard.esm:01A11F),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Unaggressive,HelpsNobody,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:003261,DLC1LvlDawnguardMissile,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMelee1H (Dawnguard.esm:014282),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013EC7,DLC1LvlDawnguardMissile_NoCrime,,FoxRace (Skyrim.esm:109C7C),DLC1LvlDawnguardMissile (Dawnguard.esm:003261),DLC1HunterFaction (Dawnguard.esm:003375):rank0,,Aggressive,HelpsFriendsAndAllies,NPC signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00996B,DLC1LvlVampire_Ambush,,FoxRace (Skyrim.esm:109C7C),LvlVampire (Skyrim.esm:02F9E1),,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00996C,DLC1LvlVampireBoss_Ambush,,FoxRace (Skyrim.esm:109C7C),LvlVampireBoss (Skyrim.esm:02F9E2),,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014C7C,DLC1LvlVampireBossImperialM,,FoxRace (Skyrim.esm:109C7C),DLC1LCharVampireBossImperialM (Dawnguard.esm:014C6A),,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F4FF,DLC1LvlVampireBossMaleVampireNord,,FoxRace (Skyrim.esm:109C7C),LCharVampireBossDLC1MaleVampireNordM (Dawnguard.esm:00F4FE),,,Unaggressive,HelpsNobody,curse/hostile actor,candidate-extracted
