plugin,record_type,formid,editor_id,name,flags,interaction_keyword,workbench_type,uses_skill,items,modding_use,validation
Dawnguard.esm,CONT,Dawnguard.esm:010479,DLC1VendorChestFeran,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00F82B,DLC1VendorChestFlorentius,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00F828,DLC1VendorChestGunmar,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x; ... +4 more,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:010477,DLC1VendorChestHestla,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:01047A,DLC1VendorChestRonthil,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00F1A5,DLC1VendorChestSorineJurard,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:00739B,DLC1VQ07TempBowChest,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,CONT,Dawnguard.esm:011E39,DLC1VQ08CleanUpChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:00A258,DLC1_WayShrineWaterPourMarker,,1073741826,ActorTypeNPC (Skyrim.esm:013794),None,255,,ritual/religion interaction candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:00A257,DLC1_WayShrineWaterScoopMarker,,1073741826,ActorTypeNPC (Skyrim.esm:013794),None,255,,ritual/religion interaction candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:00D27B,DLC1_WayShrineWaterScoopMarkerOff,,1073741826,ActorTypeNPC (Skyrim.esm:013794),None,255,,ritual/religion interaction candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:00C651,DLC1BedrollGroundF,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:00F812,DLC1DawnguardCraftingBlackSmithForge,,1073741824,ActorTypeNPC (Skyrim.esm:013794),CreateObject,Smithing,,crafting station candidate,candidate-extracted
Dawnguard.esm,FURN,Dawnguard.esm:013F11,DweForgeFurniture01nif,,1073741826,,CreateObject,Smithing,,crafting station candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03D2A1,DLC2dunBloodskalTreasChestLure,,Respawns,,,, x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:035E25,DLC2dunFrostmoonTreasChest,,0,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01DC65,DLC2dunFrostmoonVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:024027,DLC2dunHaknirChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03A2B6,DLC2dunKolbjornTreasDraugrChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:0173BD,DLC2dunNchardakCubeChest,,Respawns,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03572E,DLC2ElmusVendorChest,,Respawns,,,, x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01DA1E,DLC2ExpSpiderCraftingBooksContainer,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01705C,DLC2ExpSpiderCraftingChest,,Respawns,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03ABE1,DLC2GloverLootChest,,0,,,, x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01EEC0,DLC2MerchantDremoraChest,,Respawns,,,, x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:0177BE,DLC2MerchantTelMithrynElyneasChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:0177C1,DLC2MerchantTelMithrynNelothChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:0177C0,DLC2MerchantTelMithrynTalvasChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:031DB4,dlc2MerchMerchantsChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03B016,DLC2MQ06BookPuzzleChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:0292A6,DLC2RR02BossChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:025020,DLC2RRFethisVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02501F,DLC2RRGarynVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02501E,DLC2RRGeldisVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02501D,DLC2RRGloverVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x; ... +1 more,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02501C,DLC2RRMiloreVendorChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01F897,DLC2SkaalBlacksmithChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:01F88D,DLC2SkaalMerchantChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:027E09,DLC2SV02AncarionChest,,Respawns,,,, x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:027108,DLC2ThirskBlacksmithChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C465,DLC2TreasAlchemySatchelCommon,,Respawns,,,, x;  x,magic/crafting station candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C466,DLC2TreasAlchemySatchelRare,,Respawns,,,, x;  x;  x;  x,magic/crafting station candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C467,DLC2TreasAlchemySatchelUncommon,,Respawns,,,, x;  x;  x,magic/crafting station candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C460,DLC2TreasApocryphaChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C461,DLC2TreasApocryphaChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AABE,DLC2TreasBanditChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AABF,DLC2TreasBanditChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AAC0,DLC2TreasBanditChestSnow,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AAC1,DLC2TreasDraugrChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AAC2,DLC2TreasDraugrChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AABA,DLC2TreasDwarvenChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AABB,DLC2TreasDwarvenChestLarge,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02AABC,DLC2TreasDwarvenChestSmall,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C462,DLC2TreasExplorerLootChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C463,DLC2TreasExplorerLootChestSnow,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:025E48,DLC2TreasRieklingChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:025E46,DLC2TreasRieklingChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:034B39,DLC2TreasRieklingChestSnow,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C455,DLC2TreasWarlockChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C456,DLC2TreasWarlockChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C45E,DLC2TreasWerebearChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C45F,DLC2TreasWerebearChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C458,DLC2TreasWerewolfChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:02C45A,DLC2TreasWerewolfChestBoss,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:034022,DLC2WB01JournalChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:03C361,PersonalChestSmall_NoRespawn,,0,,,, x;  x;  x;  x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:018CB8,testPhilArcaneConverterInput,,Respawns,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:018CB9,testPhilArcaneConverterOutput,,Respawns,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,CONT,Dragonborn.esm:028211,TreasRieklingChestEMPTY,,Respawns,,,,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:03D131,BedrollHay01GlacierL,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:03D132,BedrollHay01GlacierR,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:025E51,BedrollHay01IceL,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:025E52,BedrollHay01IceR,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:028AA9,BedrollHay01L_Ash,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:02C0B3,BedrollHay01LDirtPath01F,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:02C0B2,BedrollHay01LDirtPath01L,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:02C0B4,BedrollHay01LDirtPath01R,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:01EE28,BedrollHay01LDirtSnowPath,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:018617,BedrollHay01LDirtSnowPath01F,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:018618,BedrollHay01LDirtSnowPath01R,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:028A68,BedrollHay01R_Ash,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:03CF6E,DLC2CraftingBlackSmithForge,,1073741824,ActorTypeNPC (Skyrim.esm:013794),CreateObject,Smithing,,crafting station candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:02B074,DLC2CraftingBlackSmithSkaalForge,,1073741824,ActorTypeNPC (Skyrim.esm:013794),CreateObject,Smithing,,crafting station candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:017736,DLC2CraftingStaffWorkbench,,1073741824,ActorTypeNPC (Skyrim.esm:013794),CreateObject,Enchanting,,crafting station candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:021749,DLC2DarkElfBed01,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:035038,DLC2DarkElfBed01L,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:035037,DLC2DarkElfBed01R,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:032802,DLC2DarkElfBedDouble01,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:036797,DLC2DarkElfBedDouble01L,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:036796,DLC2DarkElfBedDouble01R,,2281701376,,None,255,,sleep/rest interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:03A492,DLC2PickaxeMiningTableMarker_Stalhrim,,1073741824,ActorTypeNPC (Skyrim.esm:013794),None,255,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:03C71A,PickaxeMiningTableMarker_IgnoredBySandbox,,1073741826,ActorTypeNPC (Skyrim.esm:013794),None,255,,container/furniture interaction candidate,candidate-extracted
Dragonborn.esm,FURN,Dragonborn.esm:018CAE,testPhilCraftingSmelterMarker1,,1073741824,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:003055,BYOHHouseCraftingChest,,0,,,, x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:008372,BYOHHouseNobleChest01,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:00837E,BYOHHouseNobleChestDrawers01,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:008375,BYOHHouseNobleChestDrawers02,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:008379,BYOHHouseNobleNightTable01,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:008370,BYOHHouseUpperChest,,0,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:009B89,BYOHHouseUpperEndTable01,,0,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:00837B,BYOHHouseUpperEndTable02,,AllowSoundsWhenAnimation,,,,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:00080E,BYOHHouseVendorChest,,Respawns,,,, x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:000C44,BYOHHouseVendorChestSmall,,Respawns,,,, x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
HearthFires.esm,CONT,HearthFires.esm:004038,BYOHUrchin_SofieChest,,Respawns,,,, x;  x;  x;  x,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,CONT,Skyrim.esm:07434B,MerchantCaravanAChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
HearthFires.esm,CONT,Skyrim.esm:07434D,MerchantCaravanBChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
HearthFires.esm,CONT,Skyrim.esm:07434E,MerchantCaravanCChest,,Respawns,,,, x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x;  x,vendor/container economy candidate,candidate-extracted
HearthFires.esm,CONT,Skyrim.esm:07DF28,UpperEndTable02,,AllowSoundsWhenAnimation,,,, x;  x,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:00695D,BYOHBedrollGroundChild,,2281701376,ActorTypeNPC (Skyrim.esm:013794),None,255,,sleep/rest interaction candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:00305B,BYOHDraftingTable,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,container/furniture interaction candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003065,BYOHHouseCarpentersWorkbench,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:0030DA,BYOHHouseInteriorWorkbenchRoom01A,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003129,BYOHHouseInteriorWorkbenchRoom01B,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:005A9E,BYOHHouseInteriorWorkbenchRoom02_back,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:005A9F,BYOHHouseInteriorWorkbenchRoom02_bedrooms,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:0030F2,BYOHHouseInteriorWorkbenchRoom02_main,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AEE,BYOHHouseInteriorWorkbenchRoom03,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AF9,BYOHHouseInteriorWorkbenchRoom04,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFA,BYOHHouseInteriorWorkbenchRoom05,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFB,BYOHHouseInteriorWorkbenchRoom06,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFC,BYOHHouseInteriorWorkbenchRoom07,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFD,BYOHHouseInteriorWorkbenchRoom08,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFE,BYOHHouseInteriorWorkbenchRoom09,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003AFF,BYOHHouseInteriorWorkbenchRoom10,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
HearthFires.esm,FURN,HearthFires.esm:003B00,BYOHHouseInteriorWorkbenchRoom11,,1073741826,ActorTypeNPC (Skyrim.esm:013794),CreateObject,255,,crafting station candidate,candidate-extracted
