plugin,record_type,formid,editor_id,name,direct_condition_count,effect_condition_count,condition_keys,effects,validation
Dawnguard.esm,MGEF,Dawnguard.esm:01A188,DLC1EnchSunDamageUndeadArrow,,2,0,CompareOperator; ComparisonValue; ItemOrList; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007D99,DLC1FalmerHealerHealCheckEffect,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0059A0,DLC1FortifyHealRate,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0029E1,DLC1FortifyMagickaRateFFSelf,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0029E3,DLC1FortifyStaminaRateFFSelf,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:014CC7,DLC1FrostSlowFFAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01A935,DLC1HarkonAbsorbHealthFFAimed,,2,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01A936,DLC1HarkonAbsorbMagickaFFAimed,,2,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01A937,DLC1HarkonAbsorbStaminaFFAimed,,2,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D651,DLC1HarkonMistformEffect,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00BA51,DLC1HowlWerewolfDetectLife1,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C55,DLC1HowlWerewolfDetectLife2,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C54,DLC1HowlWerewolfDetectLife3,,5,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C53,DLC1HowlWerewolfDetectLifeCombat1,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C57,DLC1HowlWerewolfDetectLifeCombat2,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00BA53,DLC1HowlWerewolfDetectLifeCombat3,,5,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C56,DLC1HowlWerewolfDetectLifeSearching1,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C58,DLC1HowlWerewolfDetectLifeSearching2,,5,0,CompareOperator; ComparisonValue; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:018C52,DLC1HowlWerewolfDetectLifeSearching3,,5,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015FD2,DLC1HowlWerewolfFearEffect1,,7,0,CompareOperator; ComparisonValue; Faction; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015FD1,DLC1HowlWerewolfFearEffect2,,7,0,CompareOperator; ComparisonValue; Faction; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015FD0,DLC1HowlWerewolfFearEffect3,,7,0,CompareOperator; ComparisonValue; Faction; FirstUnusedIntParameter; Keyword; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A66,DLC1HowlWerewolfSummonIceWolvesEffect1,,2,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A67,DLC1HowlWerewolfSummonIceWolvesEffect2,,2,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A68,DLC1HowlWerewolfSummonIceWolvesEffect3,,2,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A69,DLC1HowlWerewolfSummonWerewolvesEffect1,,1,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A6A,DLC1HowlWerewolfSummonWerewolvesEffect2,,1,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A6B,DLC1HowlWerewolfSummonWerewolvesEffect3,,1,0,CompareOperator; ComparisonValue; Perk; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:004343,DLC1IceFormWithBarrier,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D3C2,DLC1InfluenceAggDownFFAimed,,6,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01533B,DLC1LD_SteamEffect,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:015337,DLC1LD_SteamEffectHealing,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01533A,DLC1LD_SteamEffectLingering,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01A321,DLC1MistformEffect,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01AA35,DLC1MistformInvisEffect,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:012D19,DLC1MistformMuffle,,3,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00F4D8,DLC1nVampireAbsorbMagickaConcAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0068B5,DLC1nVampireBatsAmuletEffectDMG,,3,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00E7E8,DLC1nVampireBloodyGripCloakDMGEffect,,1,0,ActorValue; CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00E7D1,DLC1nVampireDrainShadeEffect,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00E7E9,DLC1nVampireMagickaDrainClaws,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D3C0,DLC1ParalysisFFAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00A26B,DLC1PCVampireAbsorbHealthConcAimed,,2,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:019321,DLC1PCVampireAbsorbHealthFFAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01419C,DLC1PCVampireAbsorbMagickaConcAimed,,4,0,CompareOperator; ComparisonValue; Global; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:019322,DLC1PCVampireAbsorbMagickaFFAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:01419A,DLC1PCVampireAbsorbStaminaConcAimed,,4,0,CompareOperator; ComparisonValue; Global; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:019323,DLC1PCVampireAbsorbStaminaFFAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D3C1,DLC1ReanimateFFAimed25,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D3BF,DLC1ReanimateFFTargetActor25,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00D957,DLC1ReflectingShieldEffect03,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00E8D1,DLC1RestoreHealthUndeadConcActor,,2,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00E8D3,DLC1RestoreHealthUndeadFFActor,,2,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00CD5B,DLC1RevertEffect,,2,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008446,DLC1ScriptAIFlyingEffect,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:011F2B,DLC1SeranaAbsorbHealthConcAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:011F2D,DLC1SeranaAbsorbMagickaConcAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:011F2E,DLC1SeranaAbsorbStaminaConcAimed,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:008A5D,DLC1SimDamageConcAimedCloak,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:010FCB,DLC1SoulTrapFFActor,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:012D17,DLC1StaggerPushFFSelfArea,,1,0,CompareOperator; ComparisonValue; Quest; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:010EC0,DLC1SummonDragonDescription,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0030D3,DLC1SummonDragonEffect,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:003F50,DLC1SunDamageFFAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00844B,DLC1SunDamageFFAimedArea,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007EB0,DLC1testPhilcrSoulDamageConcAimed,,1,0,CompareOperator; ComparisonValue; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0068BA,DLC1testPhilSlowCloakEffectDMG,,2,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:010FF4,dlc1testPhilVortexEffect,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:0037F8,DLC1TrapSpotLightConcAimed,,1,0,CompareOperator; ComparisonValue; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:00283C,DLC1VampireChangeEffect,,7,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Global; Perk; Quest; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:010A80,DLC1VampireDetectLifeCombatExteriorSelfFF,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:010A7F,DLC1VampireDetectLifeCombatInteriorSelfFF,,1,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
Dawnguard.esm,MGEF,Dawnguard.esm:007EBD,DLC1VampireGrabActorEffect,,3,0,CompareOperator; ComparisonValue; FirstUnusedIntParameter; Keyword; RunOnType; RunOnTypeIndex; SecondUnusedIntParameter; UseAliases,,extracted-summary
