plugin,formid,editor_id,item_count,items,modding_use,validation
Dawnguard.esm,Dawnguard.esm:0111A4,DLC1VQ08VGaranStormTheCastleOverrideStack,1,DLC1VQ08VGaranStormTheCastleOverridePackage (Dawnguard.esm:0113C9),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A6,DLC1VQ08VGarmrStormTheCastleOverrideStack,1,DLC1VQ08VGarmrStormTheCastleOverridePackage (Dawnguard.esm:0113CA),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A7,DLC1VQ08VHestlaStormTheCastleOverrideStack,1,DLC1VQ08VHestlaStormTheCastleOverridePackage (Dawnguard.esm:0113CB),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0123CF,DLC1VQ08VModhnaStormTheCastleOverrideStack,1,DLC1VQ08VModhnaStormTheCastleOverridePackage (Dawnguard.esm:0123CE),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0123D2,DLC1VQ08VNamasurStormTheCastleOverrideStack,1,DLC1VQ08VNamasurStormTheCastleOverridePackage (Dawnguard.esm:0123D1),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111A8,DLC1VQ08VOrthjolfStormTheCastleOverrideStack,1,DLC1VQ08VOrthjolfStormTheCastleOverridePackage (Dawnguard.esm:0113CC),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111AE,DLC1VQ08VRargalStormTheCastleOverrideStack,1,DLC1VQ08VRargalStormTheCastleOverridePackage (Dawnguard.esm:0113CD),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111AF,DLC1VQ08VRonthilStormTheCastleOverrideStack,1,DLC1VQ08VRonthilStormTheCastleOverridePackage (Dawnguard.esm:0113CE),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0111B2,DLC1VQ08VSaloniaStormTheCastleOverrideStack,1,DLC1VQ08VSaloniaStormTheCastleOverridePackage (Dawnguard.esm:0113CF),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011278,DLC1VQ08VStalfStormTheCastleOverrideStack,1,DLC1VQ08VStalfStormTheCastleOverridePackage (Dawnguard.esm:0113D0),curated record set,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011342,DLC1VQ08VVignalmoStormTheCastleOverrideStack,1,DLC1VQ08VVignalmoStormTheCastleOverridePackage (Dawnguard.esm:0113D1),curated record set,candidate-extracted
Dragonborn.esm,Dragonborn.esm:01737B,DLC1DBDunStatueArrowList,15,ArrowDaedricProjectile (Skyrim.esm:03BE18); ArrowDraugrMagicProjectile (Skyrim.esm:10E737); ArrowDraugrProjectile (Skyrim.esm:03BE1A); ArrowDwarvenProjectile (Skyrim.esm:03BE14); ArrowDwarvenSphereBoltProjectile (Skyrim.esm:07B936); ArrowDwarvenSphereProjectile (Skyrim.esm:07B933); ArrowEbonyProjectile (Skyrim.esm:03BE17); ArrowElvenProjectile (Skyrim.esm:03BE15); ArrowFalmerProjectile (Skyrim.esm:03BE19); ArrowForswornProjectile (Skyrim.esm:0CEEA1); ArrowGlassProjectile (Skyrim.esm:03BE16); ArrowIronProjectile (Skyrim.esm:03BE11); ArrowNordHeroProjectile (Skyrim.esm:0EAFE0); ArrowOrcishProjectile (Skyrim.esm:03BE13); ArrowSteelProjectile (Skyrim.esm:03BE12),curated record set,candidate-extracted
