plugin,record_type,formid,editor_id,flags,entry_count,entries,modding_use,validation
Dawnguard.esm,LVLI,Dawnguard.esm:00E8E1,DLC1LItemFalmerHelmetHeavy100,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011D64,DLC1LitemStaffFalmer00,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011D65,DLC1LItemStaffFalmer25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",4,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011D66,DLC1LItemStaffFalmer50,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",4,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:006777,DLC1LItemVampireCuirass,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00D0EC,DLC1LItemWeaponDawnguardCrossbowLoot75Gated,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",4,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CB5,DLC1LItemWeaponFalmerShaman,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011D67,DLC1LootBoltDwarven75,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",1,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:01095F,DLC1LootDragonDaedric25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",7,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:010962,DLC1LootDragonDaedricArrows,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:01868D,DLC1LootElvenArrows25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:014751,DLC1LootFrostGiantHides50,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:011D68,DLC1LootSphereBolts,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",1,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:018EF5,DLC1RadiantReward,CalculateForEachItemInCount,7,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],loot/reward distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CCA,DLC1SublistEnchVampireRobesConjuration,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",6,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CC9,DLC1SublistEnchVampireRobesDestruction,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",6,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CCB,DLC1SublistEnchVampireRobesStandard,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:015CB4,DLC1SublistStaffDestructionFalmer,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:012491,DLC1VendorElvenArrows,0,1,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:003988,DLC1VendorGadgetsSorineJurardBolts75,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",1,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:014CF7,DLC1VendorGadgetsSorineJurardBoltsDwarvenGated75,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",1,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00F1AF,DLC1VendorGadgetsSorineJurardBoltsEnhanced,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00F1B2,DLC1VendorGadgetsSorineJurardBoltsEnhanced25,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Dawnguard.esm:00F1A8,DLC1VendorGadgetsSorineJurardCrossBow,UseAll,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],vendor/economy distribution reference,candidate-extracted
Dawnguard.esm,LVLI,Skyrim.esm:106D0D,LItemEnchVampireRobes,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLI,Skyrim.esm:10C6ED,LItemVampireAttire,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",5,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],encounter/distribution signal candidate,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:01513E,DLC1_BF_LCharFrostAtronachBoss,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",0,,leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:015124,DLC1_BF_LCharFrozenFalmer,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",5,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:010E9A,DLC1LCharDragonIceLake,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",7,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0BB,DLC1LCharTrollArmored,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:01981F,DLC1LCharTrollArmoredTamed,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A4,DLC1LCharVampire00FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D09C,DLC1LCharVampire00FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F500,DLC1LCharVampire00FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A5,DLC1LCharVampire01FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D09D,DLC1LCharVampire01FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F501,DLC1LCharVampire01FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A6,DLC1LCharVampire02FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D09E,DLC1LCharVampire02FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F502,DLC1LCharVampire02FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A7,DLC1LCharVampire03FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D09F,DLC1LCharVampire03FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F503,DLC1LCharVampire03FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A8,DLC1LCharVampire04FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A0,DLC1LCharVampire04FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F504,DLC1LCharVampire04FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A9,DLC1LCharVampire05FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A1,DLC1LCharVampire05FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F505,DLC1LCharVampire05FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0AA,DLC1LCharVampire06FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A2,DLC1LCharVampire06FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F506,DLC1LCharVampire06FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:002836,DLC1LCharVampire07,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",8,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0AB,DLC1LCharVampire07FCondescending,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",2,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00D0A3,DLC1LCharVampire07FSultry,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:00F507,DLC1LCharVampire07FVampire,0,3,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
Dawnguard.esm,LVLN,Dawnguard.esm:014C6A,DLC1LCharVampireBossImperialM,"CalculateFromAllLevelsLessThanOrEqualPlayer, CalculateForEachItemInCount",8,...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached]; ...[max depth reached]|lvl=...[max depth reached]|count=...[max depth reached],leveled actor population reference,candidate-extracted
