plugin,formid,editor_id,flags,crime_values,relations,ranks,modding_use,validation
Dawnguard.esm,Dawnguard.esm:01AA75,DLC1HireableDogFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:013CF6,DLC1HunterBaseIntroBearFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:003375,DLC1HunterFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireFaction (Dawnguard.esm:003376):Enemy; DLC1HunterFaction (Dawnguard.esm:003375):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01380F,DLC1LD_AetherialStaffBusyFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0146C0,DLC1LD_KatriaFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1LD_KatriaFaction (Dawnguard.esm:0146C0):Ally,:,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:014B5B,DLC1MothPriestCrimeFaction,TrackCrime,Arrest=false; AttackOnSight=false; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:008874,DLC1MothPriestFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1PriestEscortVampires (Dawnguard.esm:007F51):Ally; DLC1PriestEscortVigilants (Dawnguard.esm:008875):Ally; DLC1PriestCampVigilants (Dawnguard.esm:008876):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00588D,DLC1PlayerTurnedVampire,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:0071D3,DLC1PlayerVampireLordFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireFaction (Dawnguard.esm:003376):Friend; DLC1PlayerVampireLordFaction (Dawnguard.esm:0071D3):Friend,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:0142E6,DLC1PotentialVampireFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:008876,DLC1PriestCampVigilants,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1PriestEscortVigilants (Dawnguard.esm:008875):Ally; DLC1MothPriestFaction (Dawnguard.esm:008874):Ally; PlayerFaction (Skyrim.esm:000DB1):Enemy,,Vigilant/Stendarr signal,extracted
Dawnguard.esm,Dawnguard.esm:007F51,DLC1PriestEscortVampires,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1MothPriestFaction (Dawnguard.esm:008874):Ally,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:008875,DLC1PriestEscortVigilants,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1MothPriestFaction (Dawnguard.esm:008874):Ally; DLC1PriestCampVigilants (Dawnguard.esm:008876):Ally,,Vigilant/Stendarr signal,extracted
Dawnguard.esm,Dawnguard.esm:015758,DLC1RadiantDisguisedFollowPlayerFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01574F,DLC1RadiantDisguisedHunterFactionBard,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:015751,DLC1RadiantDisguisedHunterFactionMerchant,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:015752,DLC1RadiantDisguisedHunterFactionPilgrim,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:015755,DLC1RadiantDisguisedVampireFactionAdvisor,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:015750,DLC1RadiantDisguisedVampireFactionBard,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:015753,DLC1RadiantDisguisedVampireFactionMerchant,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:015754,DLC1RadiantDisguisedVampireFactionPilgrim,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:004C27,DLC1RadiantQuestGiver,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00C3CC,DLC1RadiantQuestgiverTopicFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:007C41,DLC1RadiantVampireBanditNecroAllys,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:0135BD,DLC1RuunvaldFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1RuunvaldFaction (Dawnguard.esm:0135BD):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:004C2D,DLC1RV01TargetFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:014351,DLC1RV07CoffinOwnerFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00B544,DLC1RV07ThankFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0137BA,DLC1SeranaCrimeFaction,"TrackCrime, IgnoreMurder, IgnoreAssault, IgnoreStealing, IgnoreTrespass, DoNotReportCrimesAgainstMembers, IgnorePickpocket, IgnoreWerewolf",Arrest=false; AttackOnSight=false; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:0183A5,DLC1SeranaFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01047D,DLC1ServicesFeran,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00F82D,DLC1ServicesFlorentius,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00F827,DLC1ServicesGunmar,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01047E,DLC1ServicesHestla,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01047F,DLC1ServicesRonthil,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00F1A7,DLC1ServicesSorineJurard,"Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0162F7,DLC1ThrallFaction,CanBeOwner,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireFaction (Dawnguard.esm:003376):Friend; DLC1ThrallFaction (Dawnguard.esm:0162F7):Friend,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0142E7,DLC1TurningIntoVampireFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:012D13,DLC1TutorialFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1TutorialFaction (Dawnguard.esm:012D13):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:011BE2,DLC1UndeadGuardianFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1UndeadGuardianFaction (Dawnguard.esm:011BE2):Friend,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:0083A3,DLC1ValericaEnemyFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0083A2,DLC1ValericaFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0123E6,DLC1VampireCastleDoorFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:018C4F,DLC1VampireCompanionFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,VampireThrallFaction (Skyrim.esm:02EB13):Friend; VampireFaction (Skyrim.esm:027242):Ally; DLC1VampireCompanionFaction (Dawnguard.esm:018C4F):Ally,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:017F71,DLC1VampireCrimeFaction,"HiddenFromPC, TrackCrime, IgnoreMurder, IgnoreAssault, IgnoreStealing, IgnorePickpocket",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireCrimeFaction (Dawnguard.esm:017F71):Ally,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:003376,DLC1VampireFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireFaction (Dawnguard.esm:003376):Neutral; DLC1HunterFaction (Dawnguard.esm:003375):Enemy; DLC1PlayerVampireLordFaction (Dawnguard.esm:0071D3):Friend; DLC1ThrallFaction (Dawnguard.esm:0162F7):Friend,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:014CBD,DLC1VampireFeedNoCrimeFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,crime/hold/civic signal,extracted
Dawnguard.esm,Dawnguard.esm:005E37,DLC1VampireIntroEnemyFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireIntroEnemyFaction (Dawnguard.esm:005E37):Enemy,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:01459E,DLC1VampireSeductionBoostFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:018819,DLC1VQ01CaptiveFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VQ01PuzzleRoomVampireFaction (Dawnguard.esm:018818):Friend,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:00D921,DLC1VQ01ChatterFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01A52C,DLC1VQ01DraugrFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VQ01DraugrFaction (Dawnguard.esm:01A52C):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:018818,DLC1VQ01PuzzleRoomVampireFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VQ01CaptiveFaction (Dawnguard.esm:018819):Friend,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:011E2E,DLC1VQ02LockedDoorFaction,"HiddenFromPC, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:004246,DLC1VQ03FightFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:017A07,DLC1VQ03InnkeepersFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:012CD7,DLC1VQ08HunterSiegeFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VQ08HunterSiegeFaction (Dawnguard.esm:012CD7):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:012C2E,DLC1VQ08VampireSiegeFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VQ08VampireSiegeFaction (Dawnguard.esm:012C2E):Ally,,hostile occult signal,extracted
Dawnguard.esm,Dawnguard.esm:012EAB,DLC1VQDoorBlockerFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0145C3,DLC1WE01AttackPlayerFaction,"HiddenFromPC, TrackCrime, IgnoreMurder, IgnoreAssault, IgnoreStealing, IgnoreTrespass, IgnorePickpocket, IgnoreWerewolf",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:011BE3,DLC1WE08SpecialCombatFaction,SpecialCombat,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0127EF,DLC1WEJS06EnemiesFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1WEJS06EnemiesFaction (Dawnguard.esm:0127EF):Enemy,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:007A66,SoulCairnFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,SoulCairnSummonedBonemenFaction (Dawnguard.esm:019C5B):Friend; SoulCairnSpecialFaction (Dawnguard.esm:01603E):Ally; SoulCairnFaction (Dawnguard.esm:007A66):Ally; SoulCairnSoulFaction (Dawnguard.esm:0150B0):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:0150B0,SoulCairnSoulFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,SoulCairnSpecialFaction (Dawnguard.esm:01603E):Ally; SoulCairnSoulFaction (Dawnguard.esm:0150B0):Ally; SoulCairnFaction (Dawnguard.esm:007A66):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:01603E,SoulCairnSpecialFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,SoulCairnSpecialFaction (Dawnguard.esm:01603E):Ally; SoulCairnSoulFaction (Dawnguard.esm:0150B0):Ally; SoulCairnFaction (Dawnguard.esm:007A66):Ally,,faction signal candidate,extracted
Dawnguard.esm,Dawnguard.esm:019C5B,SoulCairnSummonedBonemenFaction,HiddenFromPC,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,SoulCairnSummonedBonemenFaction (Dawnguard.esm:019C5B):Ally; SoulCairnFaction (Dawnguard.esm:007A66):Friend,,faction signal candidate,extracted
Dawnguard.esm,Skyrim.esm:027242,VampireFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireCompanionFaction (Dawnguard.esm:018C4F):Ally; DraugrFaction (Skyrim.esm:02430D):Friend; SkeletonFaction (Skyrim.esm:02D1DF):Friend; dunPrisonerFaction (Skyrim.esm:0AA784):Friend; DA03VampireFaction (Skyrim.esm:046281):Ally; VampireThrallFaction (Skyrim.esm:02EB13):Friend; WolfFaction (Skyrim.esm:03E691):Friend; SkeeverFaction (Skyrim.esm:0330B1):Friend; SpiderFaction (Skyrim.esm:02997F):Friend; VampireFaction (Skyrim.esm:027242):Ally,,hostile occult signal,extracted
Dawnguard.esm,Skyrim.esm:02EB13,VampireThrallFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC1VampireCompanionFaction (Dawnguard.esm:018C4F):Friend; SkeletonFaction (Skyrim.esm:02D1DF):Friend; DA03VampireFaction (Skyrim.esm:046281):Ally; WolfFaction (Skyrim.esm:03E691):Friend; SkeeverFaction (Skyrim.esm:0330B1):Friend; SpiderFaction (Skyrim.esm:02997F):Friend; VampireFaction (Skyrim.esm:027242):Ally; VampireThrallFaction (Skyrim.esm:02EB13):Friend,,hostile occult signal,extracted
Dragonborn.esm,Dragonborn.esm:027E12,DLC2AncarionServicesFaction,"HiddenFromPC, Vendor, CanBeOwner",Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dragonborn.esm,Dragonborn.esm:02BC5E,DLC2ApocryphaFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC2MiraakFaction (Dragonborn.esm:02BC5D):Ally; DLC2ApocryphaFaction (Dragonborn.esm:02BC5E):Ally,,faction signal candidate,extracted
Dragonborn.esm,Dragonborn.esm:03789D,DLC2ApocryphaTrapOwnerFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dragonborn.esm,Dragonborn.esm:0397E3,DLC2ApoTentacleNoHitFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
Dragonborn.esm,Dragonborn.esm:01B63B,DLC2AshSpawnFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,DLC2BenthicLurkerFaction (Dragonborn.esm:02B0F2):Friend; DLC2NetchFaction (Dragonborn.esm:02507C):Friend; DLC2AshSpawnFaction (Dragonborn.esm:01B63B):Ally,,faction signal candidate,extracted
Dragonborn.esm,Dragonborn.esm:024CAB,DLC2BanditDialogueFaction,0,Arrest=true; AttackOnSight=true; Murder=0; Assault=0; Trespass=0; Pickpocket=0; StealMult=0; Escape=0; Werewolf=0,,,faction signal candidate,extracted
