plugin,formid,editor_id,workbench_keyword,created_object,created_count,ingredients,modding_use,validation
Dawnguard.esm,Dawnguard.esm:00F80F,DLC1RecipeTechDwarvenCrossbowEnhanced,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1DwarvenCrossBowEnhanced (Dawnguard.esm:00F19F),1,DLC1DwarvenCrossBow (Dawnguard.esm:00B647) x1; IngotQuicksilver (Skyrim.esm:05ADA0) x2,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F80E,DLC1RecipeTechSteelCrossbow,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1CrossBow (Dawnguard.esm:000801),1,IngotSteel (Skyrim.esm:05ACE5) x3; Firewood01 (Skyrim.esm:06F993) x3,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00F80D,DLC1RecipeTechSteelCrossbowEnhanced,DLC1CraftingDawnguard (Dawnguard.esm:00F806),DLC1CrossBowEnhanced (Dawnguard.esm:00F19E),1,DLC1CrossBow (Dawnguard.esm:000801) x1; IngotCorundum (Skyrim.esm:05AD93) x2,crafting signal candidate,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019823,DLC1RecipeWeaponDragonboneBattleaxe,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneBattleaxe (Dawnguard.esm:014FC3),1,LeatherStrips (Skyrim.esm:0800E4) x2; IngotEbony (Skyrim.esm:05AD9D) x2; DragonBone (Skyrim.esm:03ADA4) x3,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019824,DLC1RecipeWeaponDragonboneBow,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneBow (Dawnguard.esm:0176F1),1,IngotEbony (Skyrim.esm:05AD9D) x1; DragonBone (Skyrim.esm:03ADA4) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019825,DLC1RecipeWeaponDragonboneDagger,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneDagger (Dawnguard.esm:014FCB),1,DragonBone (Skyrim.esm:03ADA4) x1; LeatherStrips (Skyrim.esm:0800E4) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019826,DLC1RecipeWeaponDragonboneGreatsword,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneGreatsword (Dawnguard.esm:014FCC),1,LeatherStrips (Skyrim.esm:0800E4) x3; IngotEbony (Skyrim.esm:05AD9D) x1; DragonBone (Skyrim.esm:03ADA4) x4,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019827,DLC1RecipeWeaponDragonboneMace,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneMace (Dawnguard.esm:014FCD),1,LeatherStrips (Skyrim.esm:0800E4) x1; IngotEbony (Skyrim.esm:05AD9D) x1; DragonBone (Skyrim.esm:03ADA4) x2,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019828,DLC1RecipeWeaponDragonboneSword,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneSword (Dawnguard.esm:014FCE),1,LeatherStrips (Skyrim.esm:0800E4) x1; IngotEbony (Skyrim.esm:05AD9D) x1; DragonBone (Skyrim.esm:03ADA4) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:019829,DLC1RecipeWeaponDragonboneWarAxe,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneWarAxe (Dawnguard.esm:014FCF),1,LeatherStrips (Skyrim.esm:0800E4) x2; IngotEbony (Skyrim.esm:05AD9D) x1; DragonBone (Skyrim.esm:03ADA4) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:01982A,DLC1RecipeWeaponDragonboneWarhammer,CraftingSmithingForge (Skyrim.esm:088105),DLC1DragonboneWarhammer (Dawnguard.esm:014FD0),1,LeatherStrips (Skyrim.esm:0800E4) x3; IngotEbony (Skyrim.esm:05AD9D) x2; DragonBone (Skyrim.esm:03ADA4) x3,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8D8,DLC1TemperArmorAurielsShield,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorAurielsShield (Dawnguard.esm:00284D),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014CC9,DLC1TemperArmorDawnguardBootsHeavy,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardBootsHeavy (Dawnguard.esm:014757),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBA,DLC1TemperArmorDawnguardBootsLight,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardBootsLight (Dawnguard.esm:00F400),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB5,DLC1TemperArmorDawnguardCuirass1,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardCuirassHeavy1 (Dawnguard.esm:00F3F7),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB6,DLC1TemperArmorDawnguardCuirass2,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardCuirassHeavy2 (Dawnguard.esm:00F3FA),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB7,DLC1TemperArmorDawnguardCuirass3,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardCuirassLight1 (Dawnguard.esm:00F3FB),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB8,DLC1TemperArmorDawnguardCuirass4,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardCuirassLight2 (Dawnguard.esm:00F402),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB9,DLC1TemperArmorDawnguardCuirass5,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardCuirassLight3 (Dawnguard.esm:00F404),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:014CC8,DLC1TemperArmorDawnguardGauntletsHeavy,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardGauntletsHeavy (Dawnguard.esm:014758),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBB,DLC1TemperArmorDawnguardGauntletsLight,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardGauntletsLight (Dawnguard.esm:00F3FE),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013E02,DLC1TemperArmorDawnguardHelmetHeavy,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardHelmetHeavy (Dawnguard.esm:0050D0),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:013E03,DLC1TemperArmorDawnguardHelmetLight,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardHelmetLight (Dawnguard.esm:01989E),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EC1,DLC1TemperArmorDawnguardRuneShield,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1DawnguardRuneShield (Dawnguard.esm:011BAF),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBC,DLC1TemperArmorDawnguardShield,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorDawnguardShield (Dawnguard.esm:0150B8),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0128A9,DLC1TemperArmorFalmerHardenedBoots,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHardenedBoots (Dawnguard.esm:00E8DD),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0128AA,DLC1TemperArmorFalmerHardenedCuirass,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHardenedCuirass (Dawnguard.esm:00E8DE),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0128AB,DLC1TemperArmorFalmerHardenedGauntlets,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHardenedGauntlets (Dawnguard.esm:00E8DF),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:0128AC,DLC1TemperArmorFalmerHardenedHelmet,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFAlmerHardenedHelmet (Dawnguard.esm:00E8E0),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBD,DLC1TemperArmorFalmerHeavyBoots,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHeavyBoots (Dawnguard.esm:0023EF),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBE,DLC1TemperArmorFalmerHeavyCuirass,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHeavyCuirass (Dawnguard.esm:0023E9),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EBF,DLC1TemperArmorFalmerHeavyGauntlets,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFalmerHeavyGauntlets (Dawnguard.esm:0023ED),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EC0,DLC1TemperArmorFalmerHeavyHelmet,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorFAlmerHeavyHelmet (Dawnguard.esm:0023EB),1,ChaurusChitin (Skyrim.esm:03AD57) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011CDA,DLC1TemperArmorIvoryBoots,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1IvoryBoots (Dawnguard.esm:00C815),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011CDB,DLC1TemperArmorIvoryCrown,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1IvoryCrown (Dawnguard.esm:00C814),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011CDC,DLC1TemperArmorIvoryCuirass,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1IvoryCuirass (Dawnguard.esm:00C816),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011F0F,DLC1TemperArmorIvoryGauntlets,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1IvoryGauntlets (Dawnguard.esm:00C817),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:012F58,DLC1TemperArmorShellbugHelmet,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorShellbugHelmet (Dawnguard.esm:012E8A),1,DLC1ShellbugChitin (Dawnguard.esm:0195AA) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:011CF9,DLC1TemperArmorVampireBoots,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireBoots (Dawnguard.esm:00B5DE),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8F2,DLC1TemperArmorVampireCuirassGray,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireArmorGray (Dawnguard.esm:0142C7),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8F3,DLC1TemperArmorVampireCuirassGrayLight,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireArmorGrayLight (Dawnguard.esm:0191F2),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8F1,DLC1TemperArmorVampireCuirassRed,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireArmorRed (Dawnguard.esm:0191F3),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8F4,DLC1TemperArmorVampireCuirassRoyalRed,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireArmorRoyalRed (Dawnguard.esm:00B5DB),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:00E8F5,DLC1TemperArmorVampireGauntlets,CraftingSmithingArmorTable (Skyrim.esm:0ADB78),DLC1ArmorVampireGauntlets (Dawnguard.esm:01A51F),1,Leather01 (Skyrim.esm:0DB5D2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017E9F,DLC1TemperWeaponAurielsBow,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1AurielsBow (Dawnguard.esm:000800),1,IngotIMoonstone (Skyrim.esm:05AD9F) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EA0,DLC1TemperWeaponCrossbow,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1CrossBow (Dawnguard.esm:000801),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EAF,DLC1TemperWeaponCrossbowDwarven,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DwarvenCrossBow (Dawnguard.esm:00B647),1,IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB0,DLC1TemperWeaponCrossbowDwarvenEnhanced,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DwarvenCrossBowEnhanced (Dawnguard.esm:00F19F),1,IngotDwarven (Skyrim.esm:0DB8A2) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EA1,DLC1TemperWeaponCrossbowEnhanced,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1CrossBowEnhanced (Dawnguard.esm:00F19E),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB1,DLC1TemperWeaponDawnguardAxe,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DawnguardAxe (Dawnguard.esm:00D098),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB2,DLC1TemperWeaponDawnguardHammer,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DawnguardHammer (Dawnguard.esm:00DD55),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB3,DLC1TemperWeaponDawnguardRuneAxe,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DawnguardRuneAxe (Dawnguard.esm:01668C),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EB4,DLC1TemperWeaponDawnguardRuneHammer,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DawnguardRuneHammer (Dawnguard.esm:011BAD),1,IngotSteel (Skyrim.esm:05ACE5) x1,Malacath/Zenithar craft-labor,candidate-extracted
Dawnguard.esm,Dawnguard.esm:017EA2,DLC1TemperWeaponDragonboneBattleaxe,CraftingSmithingSharpeningWheel (Skyrim.esm:088108),DLC1DragonboneBattleaxe (Dawnguard.esm:014FC3),1,DragonBone (Skyrim.esm:03ADA4) x1,Malacath/Zenithar craft-labor,candidate-extracted
